Manufacturer,MPN,Description,Category,Total Qty Needed,On Hand Qty,Qty to Order,Used In (Boards),Needs Verification,Notes
Yageo,MFR-12FTF52-10K,10K Ohm Resistor 1/6W 1%,Resistor,2,0,2,Discipline x2,No,"Confirmed. NOTE: kept separate from the 1/4W 5% 10K resistor below - different tolerance/wattage."
Yageo,CFR-25JR-52-10K,10K Ohm Resistor 1/4W 5%,Resistor,2,0,2,"Lattice60 (1), Rosalina (1 - R4)",Yes,"Lattice60 confirmed. Rosalina assumed compatible (official BOM just specifies ""10kΩ""). MERGED: previously 2 separate rows."
Yageo,CFR-25JR-52-1K,1K Ohm Resistor 1/4W 5%,Resistor,2,0,2,Lattice60,No,Confirmed
Yageo,CFR-25JR-52-68R,68 Ohm Resistor 1/4W 5%,Resistor,4,0,4,"Lattice60 (2), Mercutio (2 - R2/R3)",Yes,Lattice60 confirmed; Mercutio assumed same value/package
Yageo,CFR-25JR-52-5K6,5.6K Ohm Resistor 1/4W (package assumed),Resistor,2,0,2,Mercutio (R4/R5),Yes,Unique to Mercutio - qty/refdes confirmed via official MechWild build guide; exact MPN/package assumed
Murata,RCE5C2A220J0A2H03B,22pF Ceramic Capacitor,Capacitor,10,0,10,"Discipline (4), Lattice60 (2), Mercutio (2), Rosalina (2 - C1/C2)",Yes,"Discipline and Lattice60 confirmed. Mercutio and Rosalina assumed same part (Rosalina's official Lumberjack BOM.md spec ""22pF p2.5mm"" matches this part's 2.5mm lead pitch). MERGED: previously 2 separate rows."
Murata,RDER71H104K0M1H03A,0.1uF (100nF) Ceramic Capacitor,Capacitor,8,0,8,"Discipline (4), Lattice60 (1), Mercutio (1), Rosalina (2 - C4/C5)",Yes,"Discipline and Lattice60 confirmed. Mercutio and Rosalina assumed same value (Rosalina's official Lumberjack BOM.md spec ""100nF p5.0mm"" = 0.1uF). MERGED: previously 2 separate rows."
Nichicon,UVR2V4R7MPD1TD,4.7uF Electrolytic Capacitor (radial),Capacitor,2,0,2,Discipline x2,Yes,"Substitute for obsolete UMT1H4R7MDD originally specified - verify fit/voltage rating against PCB pads. NOTE: Lattice60 and Rosalina use DIFFERENT-pitch 4.7uF parts (see below) - do not cross-substitute without verifying PCB pad spacing."
Kemet,ESK475M016AC3AA,4.7uF 16V Electrolytic Capacitor,Capacitor,1,0,1,Lattice60,No,Confirmed. Different lead pitch than the Discipline/Rosalina 4.7uF parts - keep distinct.
Generic (VERIFY),4.7uF-p1.5mm-ELEC,4.7uF Electrolytic Capacitor (1.5mm lead pitch),Capacitor,1,0,1,Rosalina (C3),Yes,Value/pitch confirmed via official Lumberjack BOM.md; exact MPN not specified by designer - source a 4.7uF radial cap with 1.5mm lead pitch.
TBD - verify with multimeter/schematic,VERIFY-10uF-CAP,10uF Electrolytic Capacitor (C4),Capacitor,1,0,1,Mercutio,Yes,"Distinct from all 4.7uF parts above - guide specifies 10uF explicitly, do not substitute."
onsemi,1N4148TR,Switching Diode DO-35,Diode,394,0,394,"Discipline (138), Lattice60 (66), Mercutio (50 incl. spares), Absinthe (~80 est.), Rosalina (60)",Yes,"Discipline, Lattice60, and Rosalina qty confirmed from official docs (Rosalina via Lumberjack BOM.md, D1-D60). Mercutio kit ships 50 (46 needed + spares). Absinthe count is an ESTIMATE from matrix/layout inspection - recount against actual PCB before finalizing order."
Vishay,TZX3V6A-TR,3.6V Zener Diode DO-35,Diode,10,0,10,"Discipline (4), Lattice60 (2), Mercutio (2), Rosalina (2 - D61/D62)",Yes,"Discipline, Lattice60, and Rosalina confirmed (Rosalina via Lumberjack BOM.md). Mercutio assumed same zener part. CAUTION: visually similar to 1N4148 - keep bins separate! MERGED: previously 2 separate rows."
Lite-On,LTL-4222,3mm Red LED T-1,LED,5,0,5,"Discipline (2), Lattice60 (1), Rosalina (2 - LED1/LED2, color assumed)",Yes,"Discipline and Lattice60 confirmed. Rosalina's official Lumberjack BOM.md just specifies ""3mm LED"" with no color given - assumed red (verify; Lattice60-style boards often use 1 red + 1 green status LED instead). MERGED: previously 2 separate rows."
Kingbright,WP7113GT,3mm Green LED T-1,LED,1,0,1,Lattice60,No,Confirmed
Amphenol,68602-406HLF,2x3 Pin Header 2.54mm (ISP),Connector,4,0,4,"Discipline (2), Lattice60 (1), Rosalina (1 - J2, optional)",Yes,"Discipline and Lattice60 confirmed. Rosalina assumed same header type (official Lumberjack BOM.md spec: ""2x3 p2.54mm AVR ISP pin header (optional)"" - matches exactly). MERGED: previously 2 separate rows."
GCT (Global Connector Technology),USB4085-GF-A,USB Type-C Receptacle THT 16-pin,Connector,3,0,3,"Discipline (2), Mercutio (1)",Yes,"MPN inferred/assumed for both boards - was listed TBD in original Discipline build guide; confirm against PCB silkscreen."
Generic (VERIFY),TYPE-C-31-M-12,USB Type-C Receptacle (SMD, common generic family),Connector,1,0,1,Rosalina (J1),Yes,"Part family name confirmed via official Lumberjack BOM.md. NOTE: likely a DIFFERENT physical part/footprint than the GCT part above (common generic USB-C family used by many suppliers/LCSC) - do NOT assume interchangeable with the Discipline/Mercutio USB-C part, source separately."
TE Connectivity,1734753-1,Mini USB Type-B Socket THT,Connector,1,0,1,Lattice60,No,Confirmed
JST,SM04B-SRSS-TB,JST Connector (optional daughterboard),Connector,1,0,1,Rosalina (J3 - optional),No,Confirmed via official Lumberjack BOM.md
Molex,781710004,Molex Pico-EZmate Connector (optional),Connector,1,0,1,Rosalina (J5 - optional),No,Confirmed via official Lumberjack BOM.md
Generic (VERIFY),2.54mm-HEADER-PROMICRO,2.54mm Pin Header - 2 rows (Pro Micro/Elite-C socket),Connector,2,0,2,Absinthe,Yes,"Confirmed via official KeyHive imgur build guide - headers soldered to PCB, controller plugs in without soldering. Exact pin count not specified - count pads on PCB. Qty is in ""rows""."
Bourns,MF-R050,500mA Resettable Fuse (PTC),Fuse,2,0,2,Discipline x2,No,Confirmed
Littelfuse,RXEF010S,100mA Resettable Fuse (PTC),Fuse,3,0,3,"Lattice60 (1), Mercutio (1), Rosalina (1 - F1)",Yes,"Lattice60 and Rosalina confirmed (Rosalina's official Lumberjack BOM.md spec: ""100mA polyfuse"" - same rating). Mercutio fuse rating not published, assumed similar. MERGED: previously 2 separate rows."
APEM,MJTP1230A,6x6mm Tactile Pushbutton Switch,Switch,10,0,10,"Discipline (4), Lattice60 (2), Mercutio (2), Rosalina (2 - SW1/SW2)",Yes,"Discipline and Lattice60 confirmed. Mercutio and Rosalina assumed same generic tactile switch (Rosalina's official Lumberjack BOM.md spec: ""6x6mm tactile switch"" - matches exactly). MERGED: previously listed as 2 separate rows for the same physical part (this was flagged by user as a duplicate to fix)."
Generic (VERIFY),VERIFY-EC11,"Rotary Encoder - PCB mount, 5-pin",Encoder,2,5,0,"Mercutio (1), Absinthe (1 - optional)",Yes,"Standard EC11-style encoder assumed for both; Absinthe's is optional (only needed if using Elite-C for encoder support). 5-pin count CONFIRMED for Absinthe via official KeyHive build guide."
Generic (VERIFY),VERIFY-SSD1306-0.91in,I2C OLED Display 128x32 4-pin,Display,1,0,3,Mercutio,Yes,Common 0.91in SSD1306 module assumed.
Generic (VERIFY),WS2812B,Addressable RGB LED (strip/individual),LED,0,1,0,Absinthe (optional underglow),Yes,"Optional - set Total Qty Needed to however many LEDs you want if adding RGB underglow strip; PCB supports up to 32 LEDs per firmware config."
SparkFun-compatible / Elite-C v4,PRO-MICRO-OR-ELITE-C,Pro Micro-footprint MCU daughterboard,Controller Module,1,4,0,Absinthe,Yes,"Not sourced via Octopart - buy from a keyboard vendor (KBDfans/AliExpress/etc). CONFIRMED socketed (not soldered) via official KeyHive build guide. Elite-C v4 recommended if using the rotary encoder."
SparkFun-compatible,PRO-MICRO,Arduino Pro Micro or pin-compatible ATmega32u4 MCU (DumbPad combo variant),Controller Module,1,0,1,DumbPad,Yes,"CONFIRMED via official DumbPad combo README BOM. Not sourced via Octopart - buy from a keyboard vendor. NOTE: kept as separate row from the Absinthe Pro Micro/Elite-C row above since DumbPad doesn't require Elite-C specifically."
onsemi,1N4148TR,Switching Diode DO-35 (DumbPad matrix - add to grand total),Diode,17,0,17,DumbPad,No,"CONFIRMED via official DumbPad combo README BOM: 17 diodes for the 4x4 (16-key) matrix + 1 extra. NOTE: this is a SEPARATE row from the main 1N4148TR row above (394 qty) - if reconciling into a single grand total for ordering, combine: 394+17=411."
Generic,EC11,EC11 Rotary Encoder w/ Pushbutton - 7-pin (DumbPad),Encoder,1,0,1,DumbPad (1 required; up to 2 supported),Yes,"CONFIRMED via official DumbPad combo README BOM: ""1x or 2x EC11 rotary encoder with pushbutton (7-pin)"". Only 1 required; set qty to 2 to populate the optional second encoder position. NOTE: separate row from the Mercutio/Absinthe EC11 row above (different pin count/footprint likely) - verify before merging."
APEM,MJTP1230A,6x6mm Tactile Pushbutton Switch (DumbPad reset button - optional),Switch,1,0,1,DumbPad (optional),Yes,"CONFIRMED via official DumbPad combo README BOM as optional: ""(optional) 1 x 6mm tactile switch (to reset MCU)"". Same physical part as the MJTP1230A row above (qty 10) - can be merged into that row's total (10+1=11) for a single Octopart line item if desired."
Generic (VERIFY),VERIFY-VALUE-3MM-RESISTOR,3mm Resistor - LED current-limiting (DumbPad - optional),Resistor,3,0,3,DumbPad (optional),Yes,"CONFIRMED via official DumbPad combo README BOM as optional: ""(optional) 3x 3mm resistors (for limiting current in LEDs)"". Exact resistance value NOT specified by designer - typical value for 3mm LEDs at 5V is 220-330 ohm; verify against your chosen LED. Only needed if also populating the 3x optional status LEDs below."
Generic (VERIFY),VERIFY-COLOR-3MM-LED,3mm LED - Status Indicator (DumbPad - optional),LED,3,0,3,DumbPad (optional),Yes,"Not itemized separately in the official BOM (only its current-limiting resistors are listed), but the combo PCB is documented elsewhere in the repo as supporting 3 status LEDs. Color is your choice. Only needed if also populating the 3x optional current-limiting resistors above."
